database,source_id,pmid,pmcid,doi,title,abstract,authors,journal,year,record_url,nct_id,overall_status,databases_found,dedup_key
ClinicalTrials.gov,NCT04611776,,,,"A Phase II, Randomized, Double-Blind, Placebo-Controlled Study Evaluating the Efficacy and Safety of Adjuvant Platinum-Doublet Chemotherapy, With or Without Atezolizumab, in Patients Who Are ctDNA Positive After Complete Surgical Resection of Stage IB to Select IIIB Non-Small Cell Lung Cancer","This is a Phase II, multicenter, double-blind, randomized study designed to evaluate the efficacy and safety of adjuvant treatment with atezolizumab in combination with platinum-doublet chemotherapy followed by atezolizumab compared with adjuvant placebo in combination with platinum-doublet chemotherapy followed by placebo in patients with Stage IB to IIIB (T3N2) NSCLC following surgical resection who are positive for ctDNA.",Hoffmann-La Roche,ClinicalTrials.gov,2020,https://clinicaltrials.gov/study/NCT04611776,NCT04611776,WITHDRAWN,,
ClinicalTrials.gov,NCT06284317,,,,"An International, Multicentre, Open-label Randomised Phase III Trial to Evaluate the Benefit of Adding Adjuvant Durvalumab After Neoadjuvant Chemotherapy Plus Durvalumab in Patients With Stage IIB-IIIB (N2) Resectable NSCLC","ADOPT-lung is an international, multicentre, open-label randomised phase III trial. Protocol treatment consists of 3-4 cycles of neoadjuvant durvalumab in combination with platinum-based doublet chemotherapy, followed by surgery. Patients with R0 and R1 only resection will be randomised to receive either adjuvant durvalumab for 12 cycles (experimental arm) or observation (control arm). The primary objective of the study is to determine whether additional adjuvant immunotherapy with durvalumab after neoadjuvant chemo-immunotherapy has an effect on disease-free survival (DFS) in patients who do not achieve complete pathological response (pCR) as per local assessment according to the IASLC recommendations.",ETOP IBCSG Partners Foundation,ClinicalTrials.gov,2024,https://clinicaltrials.gov/study/NCT06284317,NCT06284317,RECRUITING,,
ClinicalTrials.gov,NCT05059444,,,,ORACLE: Observation of ResiduAl Cancer With Liquid Biopsy Evaluation,The purpose of ORACLE is to demonstrate the ability of a novel ctDNA assay developed by Guardant Health to detect recurrence in individuals treated for early-stage solid tumors. It is necessary that ctDNA test results are linked to clinical outcomes in order to demonstrate clinical validity for recurrence detection and explore its value in a healthcare environment subject to cost containment.,"Guardant Health, Inc.",ClinicalTrials.gov,2021,https://clinicaltrials.gov/study/NCT05059444,NCT05059444,RECRUITING,,
ClinicalTrials.gov,NCT06743555,,,,Surgery After Verifying Existing Disease in Locally Advanced Operable Lung Cancer (SAVED LUNG Study): A Pilot Study,"The SAVED LUNG study is a pilot Phase I trial evaluating safety and feasibility of observation versus standard-of-care surgery in operable Stage II-III (excluding N3) NSCLC patients (PD-L1 ≥50%) who achieve complete clinical response following neoadjuvant platinum-doublet chemotherapy and immunotherapy. Participants are randomized to observation or surgery after rigorous restaging, with primary endpoints focusing on safety and feasibility. Secondary objectives include rates of cross-over to surgery, event-free survival, and overall survival, while exploratory endpoints examine ctDNA clearance and its association with clinical response. After neoadjuvant therapy, all participants undergo intensified re-staging invasive and non-invasive modalities to assess for complete clinical response:

* Chest CT;
* PET/CT scan;
* Bronchoscopy;
* EBUS;
* EUS;
* Re-biopsy of lesions that were deemed to be positive for cancer; this includes re-biopsies of all positive lymph nodes and transthoracic needle aspiration of tumors.

Participants with complete clinical response defined by absence of disease as measured by all the above modalities will be randomized 1:1 to either observation or surgery.

Only patients with complete clinical response will proceed to the randomization stage of the trial. Block randomization will occur 1:1 with two participants per block. All other patients will remain on study and undergo therapy as per standard-of-care and will have follow-up on study. Both groups will have blood collected for ctDNA at this stage. For participants in the surgery arm, the blood sample will be 3 weeks after surgery, while participants in surveillance only arm will have the blood sample 3 weeks after randomization.",Centre hospitalier de l'Université de Montréal (CHUM),ClinicalTrials.gov,2024,https://clinicaltrials.gov/study/NCT06743555,NCT06743555,NOT_YET_RECRUITING,,
ClinicalTrials.gov,NCT04625699,,,,A Feasibility Study of Durvalumab + Tremelimumab in Resected Non Small Cell Lung Cancer (NSCLC) Patients With Detectable Circulating Tumor DNA After Adjuvant Treatment,"The purpose of this study is to determine whether it is feasible and safe to give research participants investigational treatment with durvalumab and tremelimumab after they have completed standard treatment for NSCLC and once they have detectable circulating tumor DNA (ctDNA) in the blood before there is evidence of disease recurrence on imaging studies. These investigational agents are a type of immunotherapy, which is a treatment that activates your own body's immune system to treat cancer. This is an open label, single arm, pilot study of adjuvant durvalumab+ tremelimumab (D+T) for patients with stage II-IIIB (excluding N3) NSCLC.The trial will evaluate the feasibility of adjuvant D+T in patients who have undergone surgical resection and standard of care (SOC) adjuvant treatment and subsequently develop detectable plasma ctDNA. 15 evaluable patients will be enrolled. Patients with resected stage II-IIIB (excluding N3) NSCLC who have completed adjuvant standard of care treatment will be pre-screened and consented for the trial. They will undergo ctDNA testing with the Signatera assay at the completion of adjuvant treatment and every 4 months thereafter with standard CT imaging assessment up to 1 year. Patients with detectable ctDNA at a mutant allele frequency of \>0.1% and no evidence of recurrence on CT imaging will be enrolled in the trial. They will receive durvalumab every 4 weeks for 4 cycles and tremelimuamb on cycles 1 and 3 with concomitant plasma ctDNA quantification. Patients will be followed with standard CT imaging of the chest as well as routine and exploratory blood tests every 4 months until 1 year after completion of D+T. They will also be followed for up to 3 years for determination of DFS and OS.",Columbia University,ClinicalTrials.gov,2020,https://clinicaltrials.gov/study/NCT04625699,NCT04625699,WITHDRAWN,,
ClinicalTrials.gov,NCT05757843,,,,Using Circulating Tumor DNA to Personalize Duration of Consolidation Durvalumab in Patients with Inoperable Stage III Non-small Cell Lung Cancer: the Indiana Trial,"This research aims to incorporate ctDNA analysis into clinical practice to individualize therapy in patients with stage III NSCLC by moving to a treatment-by-marker based approach (as opposed to treatment based on clinical or radiographic evidence of disease). There is a critical need to identify MRD to determine which patients benefit from checkpoint inhibitor therapy and to optimize and personalize the duration of consolidation Durvalumab. The long-term goal is to incorporate ctDNA analysis into clinical practice to individualize therapy in patients with stage III NSCLC by moving to a treatment-by-marker based approach (as opposed to treatment based on clinical or radiographic evidence of disease). This approach may spare a subset of patients from treatment with unnecessarily excessive cycles of consolidation immunotherapy if they are already cured with CRT alone and individualize the duration of consolidation immunotherapy in patients not cured with CRT. The study team also seek to identify early in the treatment course, patients who are destined not to be cured with consolidation immunotherapy so that alternative strategies can be tested when tumor burden is low.",Indiana University,ClinicalTrials.gov,2023,https://clinicaltrials.gov/study/NCT05757843,NCT05757843,WITHDRAWN,,
ClinicalTrials.gov,NCT04931654,,,,"A Phase I/IIa Open-label Dose Escalation and Expansion Study to Evaluate the Safety, Pharmacokinetics, Pharmacodynamics, and Efficacy of AZD7789, an Anti-PD-1 and Anti-TIM-3 Bispecific Antibody, in Participants With Advanced or Metastatic Solid Tumors.","This is a Phase I/IIa study designed to evaluate if experimental anti-PD-1 and anti-TIM-3 bispecific antibody, AZD7789 is safe, tolerable and efficacious in participants with advanced solid tumors. This first time in patients, open-label, multi-centre study will have AZD7789 administered intravenously (IV) to participants with advanced solid tumors. This study will have 2 parts: Part A which will have dose escalation cohorts and Part B which will have the dose expansion cohorts.",AstraZeneca,ClinicalTrials.gov,2021,https://clinicaltrials.gov/study/NCT04931654,NCT04931654,ACTIVE_NOT_RECRUITING,,
ClinicalTrials.gov,NCT04302025,,,,"NAUTIKA1: A Multicenter, Phase II, Neoadjuvant and Adjuvant Study of Multiple Therapies in Biomarker-selected Patients With Resectable Stages IB-III Non-small Cell Lung Cancer","This trial will evaluate the efficacy and safety of various therapies in participants with Stage IB, IIA, IIB, IIIA, or selected IIIB resectable and untreated NSCLC tumors that meet protocol-specified biomarker criteria.","Genentech, Inc.",ClinicalTrials.gov,2020,https://clinicaltrials.gov/study/NCT04302025,NCT04302025,RECRUITING,,
ClinicalTrials.gov,NCT06977074,,,,Prospective Phase II Proof-of-Concept Trial on Circulating Tumor DNA (ctDNA)-Optimized Induction Immunochemotherapy Cycle Reduction for Resectable Non-Small Cell Lung Cancer,"The goal of this clinical trial is to evaluate the clinical value of ctDNA testing in guiding the optimization of immunochemotherapy cycles during induction treatment for resectable patients with NSCLC. The main questions it aims to answer are:

* Does ctDNA clearance indicate pathological complete response?
* Are additional cycles of immunochemotherapy necessary for patients who have ctDNA clearance after initial cycles of treatment? Researchers will use ctDNA dynamics to guide the cycles of induction treatment to see if some patients can avoid excessive cycles of treatment. Advances in precision medicine have highlighted the potential of circulating tumor DNA (ctDNA) detection in NSCLC diagnosis, treatment efficacy monitoring, and prognosis evaluation. Induction immunotherapy combined with chemotherapy is now a standard treatment for patients with resectable NSCLC, but optimizing the number of immunochemotherapy cycles to enhance efficacy and reduce toxicity remains a critical clinical challenge. In this Phase II, proof-of-concept trial, around 83 patients with AJCC stage IIA-IIIB NSCLCs who are deemed resectable by an MDT team will participate to evaluate the potential role of dynamic ctDNA changes in guiding the cycle reduction of induction immunotherapy combined with chemotherapy while maintaining overall efficacy.

Eligible patients will receive 2 cycles (21-day intervals) of PD-1 inhibitor + platinum-based chemotherapy. Subsequent cycles (1-2 additional cycles) are determined by ctDNA status via tumour-agnostic strategies:

1. For patients with ctDNA clearance: Randomized (1:1) to surgery or continued therapy.
2. For patients with ctDNA persistence: Sequential 1-2 additional cycles. For all patients who are available to undergo surgery, the operation will be performed 4-6 weeks following the last cycle of treatment.",Sun Yat-sen University,ClinicalTrials.gov,2025,https://clinicaltrials.gov/study/NCT06977074,NCT06977074,RECRUITING,,
ClinicalTrials.gov,NCT04585490,,,,Personalized Escalation of Consolidation Treatment Following Chemoradiotherapy and Immunotherapy in Stage III NSCLC,"The purpose of this study is to test whether or not number of circulating cancer cells detected in the blood can be decreased the by combining the standard treatment (durvalumab) with Tremelimumab and additional chemotherapy Primary objective is to measure the change in the levels of circulating tumor DNA (ctDNA) in Cohort 1 (MRD+) due to the addition of Tremelimumab and platinum doublet chemotherapy in subjects with stage III unresectable disease with positive DNA treated with consolidation chemotherapy and immunotherapy.

Secondary Objectives:

To determine the proportion of subjects in Cohort 1 MRD+ for whom ctDNA becomes undetectable after adding chemotherapy and tremelimumab to consolidation durvalumab

To describe compare overall survival (OS) of subjects with baseline detectable ctDNA (Cohort 1 MRD+) vs baseline undetectable ctDNA (Cohort 2 MRD ) ·To compare progression free survival (PFS) between subjects with baseline detectable (Cohort 1 MRD+) vs baseline undetectable ctDNA (Cohort 2 MRD )",Stanford University,ClinicalTrials.gov,2020,https://clinicaltrials.gov/study/NCT04585490,NCT04585490,RECRUITING,,
