dedup_key,kept_database,kept_source_id,duplicate_database,duplicate_source_id,title
pmid:42569325,PubMed/MEDLINE,42569325,Europe PMC,42569325,Early tumor-informed circulating tumor DNA (ctDNA) dynamics correlate with response to first-line advanced NSCLC treated with pembrolizumab ± chemotherapy.
pmid:42447505,PubMed/MEDLINE,42447505,Europe PMC,42447505,Evaluation of Biomarkers for Sacituzumab Govitecan in Metastatic Non-Small Cell Lung Cancer: Insights From the EVOKE-01 Study.
pmid:42489696,PubMed/MEDLINE,42489696,Europe PMC,42489696,Landmark ctDNA molecular response represents an early predictor of immunotherapy outcomes in lung cancer: A clinical validity study.
pmid:42059900,PubMed/MEDLINE,42059900,Europe PMC,42059900,Early ctDNA Stratifies Survival in Locally Advanced and Oligometastatic Lung Cancer Treated with Radiotherapy.
pmid:42514200,PubMed/MEDLINE,42514200,Europe PMC,42514200,Diagnostic and Prognostic Roles of Blood-Based Immune Biomarkers in Non-Small Cell Lung Cancer: An Umbrella Review of Systematic Reviews and Meta-Analyses.
pmid:42353230,PubMed/MEDLINE,42353230,Europe PMC,42353230,The Predictive Role of ctDNA and CTCs in Patients with Advanced Non-Small Cell Lung Cancer Receiving Immunotherapy: A Systematic Review and Meta-Analysis.
pmid:42344896,PubMed/MEDLINE,42344896,Europe PMC,42344896,Prognostic utility of circulating tumor DNA assessment in immune checkpoint inhibitor-treated advanced non-small cell lung cancer: a systematic review and meta-analysis.
pmid:42331673,PubMed/MEDLINE,42331673,Europe PMC,42331673,Circulating Tumor DNA is Associated With Pathologic Response and Survival Outcomes in Patients With Non-Small Cell Lung Cancer Treated With Neoadjuvant Immunotherapy: A Systematic Review and Meta-Analysis.
pmid:42456090,PubMed/MEDLINE,42456090,Europe PMC,42456090,"Navigating Multimodality Therapy in Non-Small Cell Lung Cancer: Neoadjuvant-Only Versus Perioperative Immunotherapy, Surgical Imperatives, and Future Approaches."
pmid:42090629,PubMed/MEDLINE,42090629,Europe PMC,42090629,Potential of Minimal Residual Disease in Guiding Adjuvant Therapy Decisions in Non-Small Cell Lung Cancer.
pmid:42073604,PubMed/MEDLINE,42073604,Europe PMC,42073604,"Advances in Multi-Modal Biomarkers for Immunotherapy Response in Non-Small Cell Lung Cancer: ctDNA, Microbiome, and Radiomics."
pmid:41982682,PubMed/MEDLINE,41982682,Europe PMC,41982682,"The 2025 lung cancer landscape: advances in screening, molecular taxonomy and therapeutic strategy: a narrative review."
pmid:41349913,PubMed/MEDLINE,41349913,Europe PMC,41349913,Strategies to optimize duration of immunotherapy in advanced NSCLC: Current evidence and future directions.
pmid:41358269,PubMed/MEDLINE,41358269,Europe PMC,41358269,Exploration of immunotherapy modalities in stage III unresectable non-small cell lung cancer (Review).
pmid:41438843,PubMed/MEDLINE,41438843,Europe PMC,41438843,Cancer in a drop: Liquid biopsy highlights from the World Conference on Lung Cancer (WCLC) 2025.
pmid:41287887,PubMed/MEDLINE,41287887,Europe PMC,41287887,Tumor-Informed ctDNA in Guiding First-Line Immunochemotherapy in Advanced Non-Small Cell Lung Cancers.
pmid:41278397,PubMed/MEDLINE,41278397,Europe PMC,41278397,Evaluating Circulating Tumor DNA Clearance as an Early Intermediate End Point Predicting Clinical Benefit in Metastatic Nonsquamous NSCLC After First-Line Chemoimmunotherapy.
pmid:41268635,PubMed/MEDLINE,41268635,Europe PMC,41268635,Study design and rationale for the NeoTRACE trial: a multicenter phase II study of neoadjuvant sacituzumab govitecan plus zimberelimab followed by adjuvant zimberelimab with or without sacituzumab govitecan in patients with resectable non-small cell lung cancer.
pmid:40947345,PubMed/MEDLINE,40947345,Europe PMC,40947345,DISCERN: A Randomized Pilot Study Comparing Dual Versus Single Immune Checkpoint Blockade Plus Chemotherapy in PD-L1 Negative Advanced Non-Small Cell Lung Cancer.
pmid:39991958,PubMed/MEDLINE,39991958,Europe PMC,39991958,Molecular and immunological features associated with long-term benefits in metastatic NSCLC patients undergoing immune checkpoint blockade.
pmid:41129575,PubMed/MEDLINE,41129575,Europe PMC,41129575,Circulating tumour DNA as a predictive biomarker for tumour response and prolonged clinical benefit with nivolumab in advanced non-small cell lung cancer.
pmid:40944710,PubMed/MEDLINE,40944710,Europe PMC,40944710,High baseline PD-1+ CD8 T Cells and TIGIT+ CD8 T Cells in circulation associated with response to PD-1 blockade in patients with non-small cell lung cancer.
pmid:40893177,PubMed/MEDLINE,40893177,Europe PMC,40893177,Brief Report: Prospective Trial of Pembrolizumab Monotherapy in Metastatic NSCLC Evaluating Circulating Tumor DNA as a Surrogate Biomarker of Response.
pmid:40746669,PubMed/MEDLINE,40746669,Europe PMC,40746669,"Real-World Validity of Tissue-Agnostic Circulating Tumor DNA Response Monitoring in Lung Cancers Treated With Chemotherapy, Immunotherapy, or Targeted Agents."
pmid:40940723,PubMed/MEDLINE,40940723,Europe PMC,40940723,Utility and Future Perspectives of Circulating Tumor DNA Analysis in Non-Small Cell Lung Cancer Patients in the Era of Perioperative Chemo-Immunotherapy.
pmid:40869405,PubMed/MEDLINE,40869405,Europe PMC,40869405,Cell-Free DNA Based Next-Generation Sequencing Does Not Differentiate Between Oligoprogression and Systemic Progression in Non-Small Cell Lung Cancer Patients Treated with Immune Checkpoint Inhibitors-An Explorative Study.
pmid:40454642,PubMed/MEDLINE,40454642,Europe PMC,40454642,Overall Survival with Neoadjuvant Nivolumab plus Chemotherapy in Lung Cancer.
pmid:40673096,PubMed/MEDLINE,40673096,Europe PMC,40673096,Monitoring pembrolizumab response in patients with metastatic non-small cell lung cancer using circulating tumour DNA and circulating tumour cells.
pmid:40439479,PubMed/MEDLINE,40439479,Europe PMC,40439479,"Durable complete response in leptomeningeal disease of EGFR mutated non-small cell lung cancer to amivantamab, an EGFR-MET receptor bispecific antibody, after progressing on osimertinib."
pmid:40469279,PubMed/MEDLINE,40469279,Europe PMC,40469279,Updated overall survival data and predictive biomarkers of autologous NK cells plus Sintilimab as second-line treatment for advanced non-small cell lung cancer.
